epoch,rel_time,can_id,dlc,data_hex,type,counter,temp,state,crc_ok,gap
1782982945.749120,0.001791,0x123,8,97 1e 09 01 00 00 00 00,SENSOR,151,30.09,WARNING,True,0
1782982945.753095,0.005765,0x100,2,4b 98,HEARTBEAT,,,,,
1782982945.849572,0.102242,0x123,8,98 1e 09 01 00 00 00 f9,SENSOR,152,30.09,WARNING,True,0
1782982945.949206,0.201877,0x123,8,99 1e 09 01 00 00 00 26,SENSOR,153,30.09,WARNING,True,0
1782982945.952753,0.205424,0x100,2,4c 9a,HEARTBEAT,,,,,
1782982946.048707,0.301378,0x123,8,9a 1e 09 01 00 00 00 40,SENSOR,154,30.09,WARNING,True,0
1782982946.148853,0.401523,0x123,8,9b 1e 09 01 00 00 00 9f,SENSOR,155,30.09,WARNING,True,0
1782982946.152522,0.405192,0x100,2,4d 9c,HEARTBEAT,,,,,
1782982946.248479,0.501149,0x123,8,9c 1e 09 01 00 00 00 8c,SENSOR,156,30.09,WARNING,True,0
1782982946.348632,0.601302,0x123,8,9d 1e 09 01 00 00 00 53,SENSOR,157,30.09,WARNING,True,0
1782982946.352212,0.604882,0x100,2,4e 9e,HEARTBEAT,,,,,
1782982946.448118,0.700789,0x123,8,9e 1e 09 01 00 00 00 35,SENSOR,158,30.09,WARNING,True,0
1782982946.547906,0.800576,0x123,8,9f 1e 09 01 00 00 00 ea,SENSOR,159,30.09,WARNING,True,0
1782982946.551907,0.804578,0x100,2,4f a0,HEARTBEAT,,,,,
1782982946.647791,0.900462,0x123,8,a0 1e 09 01 00 00 00 61,SENSOR,160,30.09,WARNING,True,0
1782982946.747789,1.000460,0x123,8,a1 1e 09 01 00 00 00 be,SENSOR,161,30.09,WARNING,True,0
1782982946.751536,1.004206,0x100,2,50 a2,HEARTBEAT,,,,,
1782982946.847617,1.100287,0x123,8,a2 1e 0a 01 00 00 00 7e,SENSOR,162,30.1,WARNING,True,0
1782982946.947541,1.200211,0x123,8,a3 1e 0a 01 00 00 00 a1,SENSOR,163,30.1,WARNING,True,0
1782982946.951405,1.204076,0x100,2,51 a4,HEARTBEAT,,,,,
1782982947.047375,1.300045,0x123,8,a4 1e 0a 01 00 00 00 b2,SENSOR,164,30.1,WARNING,True,0
1782982947.147172,1.399842,0x123,8,a5 1e 0a 01 00 00 00 6d,SENSOR,165,30.1,WARNING,True,0
1782982947.151020,1.403690,0x100,2,52 a6,HEARTBEAT,,,,,
1782982947.246946,1.499616,0x123,8,a6 1e 0a 01 00 00 00 0b,SENSOR,166,30.1,WARNING,True,0
1782982947.346903,1.599573,0x123,8,a7 1e 0a 01 00 00 00 d4,SENSOR,167,30.1,WARNING,True,0
1782982947.351227,1.603897,0x100,2,53 a8,HEARTBEAT,,,,,
1782982947.447034,1.699705,0x123,8,a8 1e 0a 01 00 00 00 2d,SENSOR,168,30.1,WARNING,True,0
1782982947.546449,1.799119,0x123,8,a9 1e 0a 01 00 00 00 f2,SENSOR,169,30.1,WARNING,True,0
1782982947.550314,1.802985,0x100,2,54 aa,HEARTBEAT,,,,,
1782982947.646317,1.898987,0x123,8,aa 1e 0a 01 00 00 00 94,SENSOR,170,30.1,WARNING,True,0
1782982947.746120,1.998791,0x123,8,ab 1e 0a 01 00 00 00 4b,SENSOR,171,30.1,WARNING,True,0
1782982947.750546,2.003217,0x100,2,55 ac,HEARTBEAT,,,,,
1782982947.846036,2.098707,0x123,8,ac 1e 0a 01 00 00 00 58,SENSOR,172,30.1,WARNING,True,0
